Gene	Direction
RMDN2	AllGene
RNF111	AllGene
RNF168	AllGene
RORA	AllGene
SCN1A	AllGene
SCN1B	AllGene
SCRT1	AllGene
SCRT2	AllGene
SESN2	AllGene
SHD	AllGene
SIRT4	AllGene
SIX4	AllGene
SLC10A5	AllGene
SLC19A2	AllGene
SLC25A25	AllGene
SLC25A37	AllGene
SLC25A5	AllGene
SLC35B4	AllGene
SLC38A1	AllGene
SLC38A11	AllGene
SLC45A4	AllGene
SLC7A6	AllGene
SMCR8	AllGene
SNRK	AllGene
SORL1	AllGene
SPAG1	AllGene
SPIRE1	AllGene
SPTSSB	AllGene
SRXN1	AllGene
STARD5	AllGene
STK11	AllGene
STK26	AllGene
STS	AllGene
SUPV3L1	AllGene
SYCP2	AllGene
SYT12	AllGene
SYT2	AllGene
TACR1	AllGene
TADA2B	AllGene
TBC1D16	AllGene
TBC1D4	AllGene
TCAF2	AllGene
TDP2	AllGene
TIGD5	AllGene
TMEM132E	AllGene
TMEM200B	AllGene
TMEM25	AllGene
TMEM81	AllGene
TMPPE	AllGene
TNIP1	AllGene
TNK1	AllGene
TRIM7	AllGene
TRPC3	AllGene
TRPM3	AllGene
TTC39B	AllGene
TTI1	AllGene
TUBA8	AllGene
UBE3B	AllGene
UBXN10	AllGene
UHRF1BP1	AllGene
UPP1	AllGene
USF2	AllGene
USP15	AllGene
USP28	AllGene
USP45	AllGene
VAMP1	AllGene
WDR76	AllGene
WNT3	AllGene
XKR6	AllGene
ZADH2	AllGene
ZBTB11	AllGene
ZBTB16	AllGene
ZBTB34	AllGene
ZBTB38	AllGene
ZC3H7B	AllGene
ZFAT	AllGene
ZKSCAN4	AllGene
ZKSCAN5	AllGene
ZNF398	AllGene
ZNF41	AllGene
ZNF487	AllGene
ZNF597	AllGene
ZNF641	AllGene
ZNF740	AllGene
ZYX	AllGene
ACVR1C	TopRsq
ANK1	TopRsq
ANKH	TopRsq
AVPI1	TopRsq
BAG5	TopRsq
C16orf52	TopRsq
C18orf25	TopRsq
CAMTA1	TopRsq
CCDC136	TopRsq
CYB5R4	TopRsq
DCBLD2	TopRsq
DCLRE1A	TopRsq
DNAJC16	TopRsq
DPYD	TopRsq
DSEL	TopRsq
ENOX1	TopRsq
EPRS	TopRsq
ESRRA	TopRsq
ESRRG	TopRsq
ETNK2	TopRsq
EXTL2	TopRsq
FAM216A	TopRsq
FAM65B	TopRsq
FBLN7	TopRsq
FMN1	TopRsq
GABRA5	TopRsq
GABRQ	TopRsq
GLCCI1	TopRsq
GNB4	TopRsq
GPR161	TopRsq
HAPLN4	TopRsq
HIST1H3A	TopRsq
HS3ST1	TopRsq
JADE1	TopRsq
JDP2	TopRsq
KCNA1	TopRsq
KCNA2	TopRsq
KCNAB3	TopRsq
KCNJ11	TopRsq
